artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,222786.0,False,,"Cheat Codes, Demi Lovato",,No Promises (feat. Demi Lovato),23,,2017-03-31,cheat codes no promises,spotify:track:5lNuqFVMca4vPupY10cH0J
,326933.0,True,,Childish Gambino,,Redbone,35,,2016-12-02,childish gambino redbone,spotify:track:0wXuerDYiBnERgIpbb3JBR
,225773.0,True,,Childish Gambino,,This Is America,9,,2018-05-06,childish gambino this is america,spotify:track:0b9oOr2ZgvyQu88wzixux9
,190720.0,False,,"China Anne McClain, Thomas Doherty, Dylan Playfair",,What's My Name,3,,2017-07-21,"china anne mcclain, thomas doherty what's my name",spotify:track:53xAT6jud1w0NqlBjSW4VB
,181794.0,False,,Chloe Kohanski,,Total Eclipse Of The Heart - The Voice Performance,1,,2017-12-20,chloe kohanski total eclipse of the heart,spotify:track:1pFkLWesh2zpoFTs2g4SFt
,220630.0,False,,Chloe Kohanski,,Wish I Didn’t Love You - The Voice Performance,1,,2017-12-20,chloe kohanski wish i didn't love you,spotify:track:0SqmAwQrNyypiTroSwVjbX
,194663.0,False,,Chris Blue,,Money On You - The Voice Performance,1,,2017-05-24,chris blue money on you,spotify:track:35ap6ekPdkGkiUkWfWhZB4
,202213.0,True,,"Chris Brown, Future, Young Thug",,High End,2,,2017-10-13,chris brown high end,spotify:track:2XdgSB4TtzUHQYCMfSHbFI
,220813.0,True,,"Chris Brown, Usher, Gucci Mane",,Party,14,,2016-12-16,chris brown party,spotify:track:05Z7jet4VDNVgNQWcYHnrk
,292910.0,True,,"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",,Pills & Automobiles,19,,2017-08-04,chris brown pills and automobiles,spotify:track:4YkwUfWSIxdKNLDXw0caFO
,220963.0,True,,Chris Brown,,Privacy,17,,2017-03-24,chris brown privacy,spotify:track:2Vf2Pflg5rTWSvSCK4qq4A
,129477.0,False,,Chris Brown,,Questions,13,,2017-08-18,chris brown questions,spotify:track:5XQMr19TL7Mfksq9zihbOu
,218744.0,True,,Chris Brown,,Tempo,4,,2017-10-31,chris brown tempo,spotify:track:0709StHzSeXpdj2zmqF2o2
,188933.0,False,,Chris Janson,,Fix a Drink,14,,2017-09-22,chris janson fix a drink,spotify:track:0s6OWiWGuiCcm1Muzch5A8
,211226.0,False,,Chris Lane,,For Her,4,,2016-07-12,chris lane for her,spotify:track:19yTqpHTUrw7mOcRDvXYzn
,212080.0,False,,"Chris Lane, Tori Kelly",,Take Back Home Girl (feat. Tori Kelly),5,,2018-07-13,chris lane take back home girl,spotify:track:0N9uZRrJQ3lO5TmInEjLxc
,180906.0,False,,Chris Stapleton,,Broken Halos,20,,2017-05-05,chris stapleton broken halos,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ
,248053.0,False,,Chris Stapleton,,Either Way,2,,2017-05-05,chris stapleton either way,spotify:track:6Wo5YxkdXgwzKQZbDg2r17
,178253.0,False,,Chris Young,,Losing Sleep,19,,2017-10-20,chris young losing sleep,spotify:track:6waqLPcT6ruMhmd36OhmFO
,194560.0,False,,"Chris Young, Vince Gill",,Sober Saturday Night (feat. Vince Gill),7,,2015-11-13,chris young sober saturday night,spotify:track:081t95JRuDUrQYSS3h8iKk
,205986.0,False,,"Clean Bandit, Julia Michaels",,I Miss You (feat. Julia Michaels),1,,2018-11-30,clean bandit i miss you,spotify:track:0Ult84lvFuqNvbyXwyRQ58
,251088.0,False,,"Clean Bandit, Sean Paul, Anne-Marie",,Rockabye (feat. Sean Paul & Anne-Marie),19,,2016-10-21,clean bandit rockabye,spotify:track:5knuzwU65gJK7IF5yJsuaW
,222653.0,False,,"Clean Bandit, Demi Lovato",,Solo (feat. Demi Lovato),1,,2018-05-17,clean bandit solo,spotify:track:6kPJZM97LwdG9QIsT7khp6
